162,162,162,24,24,162,24,231,231,162,231,231,231,24,162,162,163,198,193,193
24,231,162,24,24,24,162,231,231,231,24,24,24,231,231,24,164,139,140,188
162,231,162,24,24,231,24,24,231,231,231,24,24,162,24,231,231,231,163,198
231,231,24,24,231,231,24,24,162,210,254,254,254,254,254,254,211,162,164,139
24,231,231,162,24,24,231,162,162,232,207,208,208,208,208,209,230,24,231,231
24,24,162,231,24,24,24,24,162,232,230,162,24,162,162,232,230,231,162,231
231,24,231,24,231,24,24,231,162,232,230,24,162,24,24,232,230,231,24,231
231,231,24,24,24,162,24,162,162,232,230,24,162,162,24,232,230,231,24,231
254,254,254,254,254,254,254,254,254,255,230,162,162,231,231,232,230,24,231,231
208,208,208,208,208,208,208,208,208,208,234,162,231,24,162,232,230,24,162,24
162,162,24,162,162,162,231,24,231,231,24,162,231,24,24,232,230,162,162,231
47,4,24,24,231,24,162,162,162,231,231,24,162,162,24,232,230,24,162,24
60,46,47,47,47,4,231,231,24,162,24,231,162,162,162,232,230,231,231,162
55,50,55,50,50,46,4,162,162,24,24,24,24,24,231,232,230,162,162,24
60,55,50,55,55,55,23,231,24,162,162,162,162,162,231,232,230,24,24,24
